"REF_DATE","GEO","DGUID","Statistic","Household tenure","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54530462","1.1.1.9","8259","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Mortgage paid for owned living quarters","Dollars","81","units","0","v64476214","1.1.1.57","4699","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Repairs and maintenance for owned living quarters","Dollars","81","units","0","v64476215","1.1.1.58","383","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Condominium fees for owned living quarters","Dollars","81","units","0","v64476216","1.1.1.59","254","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Property and school taxes for owned living quarters","Dollars","81","units","0","v64476217","1.1.1.60","1738","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Homeowners' insurance premiums for owned living quarters","Dollars","81","units","0","v64476218","1.1.1.61","541","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other expenditures for owned living quarters","Dollars","81","units","0","v64476219","1.1.1.62","644","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Commissions for sale of real estate owned by the household","Dollars","81","units","0","v64476220","1.1.1.63","256","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Legal fees related to owned living quarters","Dollars","81","units","0","v64476221","1.1.1.64","68","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Mortgage insurance premiums for owned living quarters","Dollars","81","units","0","v64476222","1.1.1.65","93","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Registration fees, renewal fees and early renewal or closing penalties for owned living quarters","Dollars","81","units","0","v64476223","1.1.1.67","46","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Transfer taxes and land registration fees for owned living quarters","Dollars","81","units","0","v64476224","1.1.1.68","153","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","All other expenses related to owned living quarters (excluding repairs and maintenance)","Dollars","81","units","0","v64476225","1.1.1.316","29","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530463","1.1.1.10","2240","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Water and sewage for principal accommodation","Dollars","81","units","0","v64476226","1.1.1.69","301","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Electricity for principal accommodation","Dollars","81","units","0","v64476227","1.1.1.70","1202","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Natural gas for principal accommodation","Dollars","81","units","0","v64476228","1.1.1.71","557","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other fuel for principal accommodation","Dollars","81","units","0","v64476229","1.1.1.72","179","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation","Dollars","81","units","0","v54530464","1.1.1.11","1433","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Owned secondary residences","Dollars","81","units","0","v64476230","1.1.1.73","717","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Mortgage paid for owned secondary residences","Dollars","81","units","0","v64476231","1.1.1.74","264","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Property and school taxes, water and sewage charges for owned secondary residences","Dollars","81","units","0","v105964471","1.1.1.318","","..","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Property taxes and sewage charges for owned secondary residences","Dollars","81","units","0","v64476232","1.1.1.75","153","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Insurance premiums for owned secondary residences","Dollars","81","units","0","v64476233","1.1.1.76","49","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Electricity and fuel (e.g. natural gas and wood) for owned secondary residences","Dollars","81","units","0","v105964472","1.1.1.319","","..","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Electricity, water and fuel for owned secondary residences","Dollars","81","units","0","v64476234","1.1.1.77","68","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences","Dollars","81","units","0","v105964473","1.1.1.320","","..","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other expenses for owned secondary residences","Dollars","81","units","0","v64476235","1.1.1.78","183","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other owned properties","Dollars","81","units","0","v64476236","1.1.1.79","284","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Accommodation away from home","Dollars","81","units","0","v64476237","1.1.1.80","432","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Hotels and motels","Dollars","81","units","0","v64476238","1.1.1.81","322","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation away from home","Dollars","81","units","0","v64476239","1.1.1.82","110","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household operations","Dollars","81","units","0","v54530465","1.1.1.12","3887","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Communications","Dollars","81","units","0","v54530466","1.1.1.13","1742","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Telephone","Dollars","81","units","0","v64476240","1.1.1.83","1301","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Landline telephone services","Dollars","81","units","0","v64476241","1.1.1.84","512","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Cell phone and pager services","Dollars","81","units","0","v64476242","1.1.1.85","731","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Purchase of telephones and equipment","Dollars","81","units","0","v64476243","1.1.1.86","57","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Internet access services","Dollars","81","units","0","v64476244","1.1.1.87","388","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Digital services","Dollars","81","units","0","v64476245","1.1.1.88","7","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Postal, courier and other communication services","Dollars","81","units","0","v64476246","1.1.1.89","46","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Domestic and other custodial services (excluding child care)","Dollars","81","units","0","v64476247","1.1.1.90","257","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Pet expenses","Dollars","81","units","0","v64476248","1.1.1.91","482","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Pet food","Dollars","81","units","0","v64476249","1.1.1.92","231","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Purchase of pets and pet-related goods","Dollars","81","units","0","v64476250","1.1.1.93","98","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Veterinarian and other services","Dollars","81","units","0","v64476251","1.1.1.94","153","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household cleaning supplies and equipment","Dollars","81","units","0","v64476252","1.1.1.95","232","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Detergent and other soaps","Dollars","81","units","0","v64476253","1.1.1.96","104","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Cleaning equipment (non-electric)","Dollars","81","units","0","v64476255","1.1.1.98","21","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other household cleaning supplies","Dollars","81","units","0","v64476254","1.1.1.97","107","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Paper, plastic and foil supplies","Dollars","81","units","0","v64476256","1.1.1.99","344","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Stationery (excluding school supplies)","Dollars","81","units","0","v64476257","1.1.1.100","125","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other paper supplies","Dollars","81","units","0","v64476258","1.1.1.101","160","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Plastic and foil supplies","Dollars","81","units","0","v64476259","1.1.1.102","59","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Garden supplies and services","Dollars","81","units","0","v64476260","1.1.1.103","281","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds","Dollars","81","units","0","v64476261","1.1.1.104","155","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners","Dollars","81","units","0","v64476262","1.1.1.105","58","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Groundskeeping services, snow and garbage removal","Dollars","81","units","0","v64476263","1.1.1.106","68","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other household supplies","Dollars","81","units","0","v64476264","1.1.1.107","102","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Child care","Dollars","81","units","0","v64476265","1.1.1.108","447","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Child care outside the home","Dollars","81","units","0","v64476266","1.1.1.109","325","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Child care in the home (regular and occasional)","Dollars","81","units","0","v64476267","1.1.1.110","122","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings and equipment","Dollars","81","units","0","v54530467","1.1.1.14","1972","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings","Dollars","81","units","0","v54530468","1.1.1.15","896","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Furniture","Dollars","81","units","0","v64476268","1.1.1.111","576","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rugs, mats and underpadding","Dollars","81","units","0","v64476269","1.1.1.112","32","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Art, antiques and decorative ware","Dollars","81","units","0","v64476270","1.1.1.113","63","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Linens","Dollars","81","units","0","v64476271","1.1.1.114","87","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other household furnishings (curtains, mirrors and picture frames)","Dollars","81","units","0","v64476272","1.1.1.115","139","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household equipment","Dollars","81","units","0","v54530469","1.1.1.16","944","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household appliances","Dollars","81","units","0","v54530470","1.1.1.17","415","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Refrigerators and freezers","Dollars","81","units","0","v64476273","1.1.1.116","100","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Microwave ovens","Dollars","81","units","0","v64476274","1.1.1.117","14","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Cooking appliances","Dollars","81","units","0","v64476275","1.1.1.118","65","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Washers and dryers","Dollars","81","units","0","v64476276","1.1.1.119","90","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Dishwashers","Dollars","81","units","0","v64476277","1.1.1.120","32","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Room air conditioners, portable humidifiers and dehumidifiers","Dollars","81","units","0","v64476278","1.1.1.121","23","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other electric equipment and appliances (including parts and attachments)","Dollars","81","units","0","v64476279","1.1.1.122","92","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other household equipment","Dollars","81","units","0","v64476280","1.1.1.123","529","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Home and workshop tools and equipment","Dollars","81","units","0","v64476281","1.1.1.124","66","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Lawn, garden and snow-removal equipment and tools","Dollars","81","units","0","v64476282","1.1.1.125","83","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Non-electric kitchen and cooking equipment","Dollars","81","units","0","v64476283","1.1.1.126","144","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other household equipment, parts and accessories","Dollars","81","units","0","v64476284","1.1.1.127","236","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Maintenance, rental, repairs and services related to household furnishings and equipment","Dollars","81","units","0","v64476285","1.1.1.128","60","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Services related to household furnishings and equipment","Dollars","81","units","0","v64476286","1.1.1.129","71","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rental of heating equipment","Dollars","81","units","0","v64476287","1.1.1.130","33","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Home security services","Dollars","81","units","0","v64476288","1.1.1.131","38","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and accessories","Dollars","81","units","0","v54530471","1.1.1.18","3467","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Women's and girls' wear (women and girls aged 4 years and over)","Dollars","81","units","0","v64476289","1.1.1.132","1748","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing (women and girls aged 4 years and over)","Dollars","81","units","0","v64476290","1.1.1.133","1169","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Footwear (women and girls aged 4 years and over)","Dollars","81","units","0","v64476291","1.1.1.134","344","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Athletic footwear (women and girls aged 4 years and over)","Dollars","81","units","0","v64476292","1.1.1.135","105","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other footwear (women and girls aged 4 years and over)","Dollars","81","units","0","v64476293","1.1.1.136","240","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Accessories (women and girls aged 4 years and over)","Dollars","81","units","0","v64476294","1.1.1.137","101","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Watches and jewellery (women and girls aged 4 years and over)","Dollars","81","units","0","v64476295","1.1.1.138","135","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Watches (women and girls aged 4 years and over)","Dollars","81","units","0","v64476296","1.1.1.139","17","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Jewellery (women and girls aged 4 years and over)","Dollars","81","units","0","v64476297","1.1.1.140","117","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Men's and boys' wear (men and boys aged 4 years and over)","Dollars","81","units","0","v64476298","1.1.1.141","1118","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing (men and boys aged 4 years and over)","Dollars","81","units","0","v64476299","1.1.1.142","772","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Footwear (men and boys aged 4 years and over)","Dollars","81","units","0","v64476300","1.1.1.143","246","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Athletic footwear (men and boys aged 4 years and over)","Dollars","81","units","0","v64476301","1.1.1.144","125","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other footwear (men and boys aged 4 years and over)","Dollars","81","units","0","v64476302","1.1.1.145","121","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Accessories (men and boys aged 4 years and over)","Dollars","81","units","0","v64476303","1.1.1.146","43","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Watches and jewellery (men and boys aged 4 years and over)","Dollars","81","units","0","v64476304","1.1.1.147","56","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Watches (men and boys aged 4 years and over)","Dollars","81","units","0","v64476305","1.1.1.148","23","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Jewellery (men and boys aged 4 years and over)","Dollars","81","units","0","v64476306","1.1.1.149","33","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Children's wear (children under 4 years)","Dollars","81","units","0","v64476307","1.1.1.150","69","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and cloth diapers (children under 4 years)","Dollars","81","units","0","v64476308","1.1.1.151","58","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Footwear (children under 4 years)","Dollars","81","units","0","v64476309","1.1.1.152","12","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Gifts of clothing for non-household members","Dollars","81","units","0","v64476310","1.1.1.153","453","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing material, yarn, thread and other notions","Dollars","81","units","0","v64476311","1.1.1.154","26","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Clothing services","Dollars","81","units","0","v64476312","1.1.1.155","54","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Laundry and dry-cleaning services","Dollars","81","units","0","v64476313","1.1.1.156","28","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Laundromats and self-service dry cleaning","Dollars","81","units","0","v64476314","1.1.1.157","3","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Services for clothing, footwear and jewellery","Dollars","81","units","0","v64476315","1.1.1.158","23","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Transportation","Dollars","81","units","0","v54530476","1.1.1.23","11156","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Private transportation","Dollars","81","units","0","v54530477","1.1.1.24","10097","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Private use automobiles, vans and trucks","Dollars","81","units","0","v64476316","1.1.1.159","5076","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Purchase of automobiles, vans and trucks","Dollars","81","units","0","v64476317","1.1.1.160","4518","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Automobiles (purchase)","Dollars","81","units","0","v64476318","1.1.1.161","2407","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Vans (including mini-vans, purchase)","Dollars","81","units","0","v64476319","1.1.1.162","360","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Trucks (including sport utility vehicles, purchase)","Dollars","81","units","0","v64476320","1.1.1.163","1750","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Accessories for automobiles, vans and trucks","Dollars","81","units","0","v64476321","1.1.1.164","21","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Fees for leased automobiles, vans and trucks","Dollars","81","units","0","v64476322","1.1.1.165","537","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Regular fees for leased automobiles, vans and trucks","Dollars","81","units","0","v64476323","1.1.1.166","498","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Regular fees for leased automobiles","Dollars","81","units","0","v64476324","1.1.1.167","313","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Regular fees for leased vans and trucks","Dollars","81","units","0","v64476325","1.1.1.168","186","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other costs for leased automobiles, vans and trucks (include down payment and closing costs)","Dollars","81","units","0","v64476326","1.1.1.169","38","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Rented automobiles, vans and trucks","Dollars","81","units","0","v64476327","1.1.1.170","54","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Automobile, van and truck operations","Dollars","81","units","0","v64476328","1.1.1.171","4967","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Registration fees for automobiles, vans and trucks (including insurance if part of registration)","Dollars","81","units","0","v64476329","1.1.1.172","407","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Private and public vehicle insurance premiums","Dollars","81","units","0","v64476330","1.1.1.173","1260","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Tires, batteries, and other parts and supplies for vehicles","Dollars","81","units","0","v64476331","1.1.1.174","340","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Maintenance and repairs of vehicles","Dollars","81","units","0","v64476332","1.1.1.175","497","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Vehicle security and communication services","Dollars","81","units","0","v64476333","1.1.1.176","13","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Gas and other fuels (all vehicles and tools)","Dollars","81","units","0","v64476334","1.1.1.177","2108","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Parking (excluding parking fees included in rent and traffic and parking tickets)","Dollars","81","units","0","v64476336","1.1.1.179","225","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other automobile, van and truck operation services","Dollars","81","units","0","v64476335","1.1.1.178","42","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Drivers' licences and tests, and driving lessons","Dollars","81","units","0","v64476337","1.1.1.180","76","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Drivers' licences and tests","Dollars","81","units","0","v64476338","1.1.1.181","54","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Driving lessons","Dollars","81","units","0","v64476339","1.1.1.182","22","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Public transportation","Dollars","81","units","0","v54530478","1.1.1.25","1060","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","City or commuter bus, subway, streetcar and commuter train","Dollars","81","units","0","v64476340","1.1.1.183","247","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Taxi (including tips)","Dollars","81","units","0","v64476341","1.1.1.184","78","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other local passenger transportation","Dollars","81","units","0","v64476342","1.1.1.185","15","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Airplane","Dollars","81","units","0","v64476343","1.1.1.186","605","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Inter-city bus","Dollars","81","units","0","v64476344","1.1.1.187","11","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Other inter-city passenger transportation services","Dollars","81","units","0","v64476345","1.1.1.188","31","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Household moving, storage and delivery services","Dollars","81","units","0","v64476346","1.1.1.189","73","","","t","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Health care","Dollars","81","units","0","v54530479","1.1.1.26","2237","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Direct health care costs to household","Dollars","81","units","0","v54530480","1.1.1.27","1655","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Prescribed medicines and pharmaceutical products","Dollars","81","units","0","v64476347","1.1.1.190","494","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Non-prescribed medicines, pharmaceutical products, health care supplies and equipment","Dollars","81","units","0","v64476348","1.1.1.191","402","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Health care services","Dollars","81","units","0","v64476349","1.1.1.192","194","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Health care practitioners (excluding general practitioners and specialists)","Dollars","81","units","0","v64476350","1.1.1.193","106","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Health care by general practitioners and specialists","Dollars","81","units","0","v64476351","1.1.1.194","22","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Weight control programs, smoking cessation programs and other medical services","Dollars","81","units","0","v64476352","1.1.1.195","28","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Hospital care, nursing homes and other residential care facilities","Dollars","81","units","0","v64476353","1.1.1.196","37","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Eye-care goods and services","Dollars","81","units","0","v64476354","1.1.1.197","206","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Prescription eye wear","Dollars","81","units","0","v64476355","1.1.1.198","141","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Non-prescription eye wear and other eye-care goods","Dollars","81","units","0","v64476356","1.1.1.199","21","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","All classes","Eye-care services (e.g. surgery, exams)","Dollars","81","units","0","v64476357","1.1.1.200","43","","","","0"
